fixture_id,domain,mode,graph_width,node_count,wall_time_us,critical_path_us,tool_calls,token_units,failed_merges,replans,correct
research-width-1,research,sequential,1,3,19350,9000,3,407,0,0,true
research-width-1,research,parallel,1,3,15676,9000,3,407,0,0,true
research-width-1,research,flawed_dependency,1,3,12335,9000,2,268,1,0,false
research-width-2,research,sequential,2,5,30048,12000,5,681,0,0,true
research-width-2,research,parallel,2,5,25169,12000,5,681,0,0,true
research-width-2,research,flawed_dependency,2,5,9984,12000,3,405,1,0,false
research-width-3,research,sequential,3,5,29145,9000,5,682,0,0,true
research-width-3,research,parallel,3,5,15447,9000,5,682,0,0,true
research-width-3,research,flawed_dependency,3,5,10630,9000,4,542,1,0,false
research-width-4,research,sequential,4,8,47512,15000,8,1093,0,0,true
research-width-4,research,parallel,4,8,31842,15000,8,1093,0,0,true
research-width-4,research,flawed_dependency,4,8,11551,15000,5,679,1,0,false
research-width-6,research,sequential,6,9,55008,12000,9,1230,0,0,true
research-width-6,research,parallel,6,9,24128,12000,9,1230,0,0,true
research-width-6,research,flawed_dependency,6,9,12597,12000,7,954,1,0,false
risk-width-1,risk,sequential,1,4,24549,12000,4,544,0,0,true
risk-width-1,risk,parallel,1,4,24958,12000,4,544,0,0,true
risk-width-1,risk,flawed_dependency,1,4,9588,12000,2,268,1,0,false
risk-width-2,risk,sequential,2,4,25562,9000,4,544,0,0,true
risk-width-2,risk,parallel,2,4,17348,9000,4,544,0,0,true
risk-width-2,risk,flawed_dependency,2,4,11032,9000,3,405,1,0,false
risk-width-3,risk,sequential,3,7,37322,15000,7,956,0,0,true
risk-width-3,risk,parallel,3,7,30223,15000,7,956,0,0,true
risk-width-3,risk,flawed_dependency,3,7,12233,15000,4,542,1,0,false
risk-width-5,risk,sequential,5,8,46210,12000,8,1093,0,0,true
risk-width-5,risk,parallel,5,8,22161,12000,8,1093,0,0,true
risk-width-5,risk,flawed_dependency,5,8,12958,12000,6,817,1,0,false
data-width-1,data_transform,sequential,1,5,26057,15000,5,681,0,0,true
data-width-1,data_transform,parallel,1,5,31141,15000,5,681,0,0,true
data-width-1,data_transform,flawed_dependency,1,5,11251,15000,2,268,1,0,false
data-width-2,data_transform,sequential,2,5,26979,12000,5,681,0,0,true
data-width-2,data_transform,parallel,2,5,24351,12000,5,681,0,0,true
data-width-2,data_transform,flawed_dependency,2,5,10441,12000,3,405,1,0,false
data-width-4,data_transform,sequential,4,6,36794,9000,6,819,0,0,true
data-width-4,data_transform,parallel,4,6,17345,9000,6,819,0,0,true
data-width-4,data_transform,flawed_dependency,4,6,11453,9000,5,679,1,0,false
data-width-5,data_transform,sequential,5,9,55664,15000,9,1230,0,0,true
data-width-5,data_transform,parallel,5,9,31963,15000,9,1230,0,0,true
data-width-5,data_transform,flawed_dependency,5,9,13152,15000,6,817,1,0,false
data-width-6,data_transform,sequential,6,8,45989,9000,8,1093,0,0,true
data-width-6,data_transform,parallel,6,8,18580,9000,8,1093,0,0,true
data-width-6,data_transform,flawed_dependency,6,8,13142,9000,7,954,1,0,false
endurance-width-1,endurance,sequential,1,3,18195,9000,3,407,0,0,true
endurance-width-1,endurance,parallel,1,3,18034,9000,3,407,0,0,true
endurance-width-1,endurance,flawed_dependency,1,3,12751,9000,2,268,1,0,false
endurance-width-2,endurance,sequential,2,6,33483,15000,6,818,0,0,true
endurance-width-2,endurance,parallel,2,6,31947,15000,6,818,0,0,true
endurance-width-2,endurance,flawed_dependency,2,6,12791,15000,3,405,1,0,false
endurance-width-3,endurance,sequential,3,6,34893,12000,6,819,0,0,true
endurance-width-3,endurance,parallel,3,6,25823,12000,6,819,0,0,true
endurance-width-3,endurance,flawed_dependency,3,6,10692,12000,4,542,1,0,false
endurance-width-6,endurance,sequential,6,10,58641,15000,10,1367,0,0,true
endurance-width-6,endurance,parallel,6,10,28913,15000,10,1367,0,0,true
endurance-width-6,endurance,flawed_dependency,6,10,13141,15000,7,954,1,0,false
